date,price,action,reward,portfolio_value,cash,shares
2026-03-16,1397.6,1,0.0015034180633581218,148738.04440047164,7218.520562985097,101.25896095985014
2026-03-17,1408.1,1,0.00692283814665237,149801.26349055007,7218.520562985097,101.25896095985014
2026-03-18,1384.8,2,-0.0011522659470529625,149658.6807476225,149658.6807476225,0.0
2026-03-19,1414.4,1,0.01897123330112858,152555.50131996424,7340.758290670899,102.66879456256598
2026-03-20,1407.8,2,-0.001152334719286547,152410.28657693494,152410.28657693494,0.0
2026-03-23,1411.8,1,0.0015477189013293733,152676.88982144516,7475.724556598667,102.8482541895782
2026-03-24,1413.1,0,0.0008753402132543032,152810.5925518916,7475.724556598667,102.8482541895782
2026-03-25,1348.1,2,-0.0011515310545744627,152665.2576838963,152665.2576838963,0.0
2026-03-27,1343.9,1,-0.004117384028261458,152068.37910638112,7488.230889395112,107.58251969416327
2026-03-30,1369.2,0,0.017740478314654848,154790.21685464346,7488.230889395112,107.58251969416327
2026-04-01,1350.5,0,-0.013082099697026681,152778.4237363626,7488.230889395112,107.58251969416327
2026-04-02,1304.7,2,-0.0011514388067114516,152633.13354351564,152633.13354351564,0.0
2026-04-06,1304.6,0,0.0,152633.13354351564,152633.13354351564,0.0
2026-04-07,1347.8,1,0.029851805099377886,157289.65268647598,7486.65520030944,111.14631064413604
2026-04-08,1330.0,0,-0.012657869750604279,155311.24835701036,7486.65520030944,111.14631064413604
2026-04-09,1350.2,1,0.014152356334442487,157556.40383202193,7486.65520030944,111.14631064413604
2026-04-10,1315.1,0,-0.025072588691906476,153655.16832841272,7486.65520030944,111.14631064413604
2026-04-13,1344.1,1,0.02056013019204219,156878.41133709266,7486.65520030944,111.14631064413604
2026-04-15,1343.3,0,-0.000566950263653255,156789.49428857738,7486.65520030944,111.14631064413604
2026-04-16,1365.0,1,0.015065769100401059,159201.36922955513,7486.65520030944,111.14631064413604
2026-04-17,1363.3,0,-0.0011875585307656708,159012.4205014601,7486.65520030944,111.14631064413604
2026-04-20,1353.3,2,-0.001153372110930065,158860.89473615892,158860.89473615892,0.0
2026-04-21,1362.1,1,0.00501387615060046,159691.33880147344,7792.1268868086045,111.5183994674876
2026-04-22,1343.4,0,-0.013144922480875744,157605.94473143146,7792.1268868086045,111.5183994674876
2026-04-23,1327.8,0,-0.011099579988582792,155866.25769973863,7792.1268868086045,111.5183994674876
2026-04-24,1365.8,1,0.02662501764634215,160103.95687950315,7792.1268868086045,111.5183994674876
2026-04-27,1388.9,0,0.01596194242651529,162680.03190720215,7792.1268868086045,111.5183994674876
2026-04-28,1425.4,0,0.024713127185083363,166750.45348776542,7792.1268868086045,111.5183994674876
2026-04-29,1430.8,0,0.003604875248676839,167352.65284488985,7792.1268868086045,111.5183994674876
2026-04-30,1463.1,0,0.021295312834383292,170954.6971476897,7792.1268868086045,111.5183994674876
2026-05-04,1463.6,0,0.0003261104218251377,171010.45634742343,7792.1268868086045,111.5183994674876
2026-05-05,1437.9,2,-0.0011548905556489019,170847.2380179628,170847.2380179628,0.0
2026-05-06,1436.2,0,0.0,170847.2380179628,170847.2380179628,0.0
2026-05-07,1435.2,0,0.0,170847.2380179628,170847.2380179628,0.0
2026-05-08,1388.2,2,-0.0002,170847.2380179628,170847.2380179628,0.0
2026-05-11,1364.0,2,-0.0002,170847.2380179628,170847.2380179628,0.0
2026-05-12,1358.8,0,0.0,170847.2380179628,170847.2380179628,0.0
2026-05-13,1361.8,0,0.0,170847.2380179628,170847.2380179628,0.0
2026-05-14,1336.4,0,0.0,170847.2380179628,170847.2380179628,0.0
2026-05-15,1335.9,0,0.0,170847.2380179628,170847.2380179628,0.0
2026-05-18,1322.7,0,0.0,170847.2380179628,170847.2380179628,0.0
2026-05-19,1359.7,1,0.025101628164125252,175225.10129511662,8380.057024781097,122.70724738569943
2026-05-20,1349.6,0,-0.007097994627566366,173985.75809652105,8380.057024781097,122.70724738569943
2026-05-21,1354.5,1,0.003249874115730332,174587.02360871097,8380.057024781097,122.70724738569943
2026-05-22,1367.0,1,0.008547167802677062,176120.8642010322,8380.057024781097,122.70724738569943
2026-05-25,1356.3,0,-0.0074828501958251695,174807.89665400522,8380.057024781097,122.70724738569943
2026-05-26,1350.5,0,-0.004079648474987268,174096.19461916818,8380.057024781097,122.70724738569943
2026-05-27,1321.2,0,-0.020867576424170333,170500.8722707672,8380.057024781097,122.70724738569943
2026-05-29,1320.0,0,-0.0008639974406553598,170353.62357390436,8380.057024781097,122.70724738569943
2026-06-01,1314.6,0,-0.003897253007310404,169691.00443802157,8380.057024781097,122.70724738569943
2026-06-02,1313.2,0,-0.001012883171211079,169519.2142916816,8380.057024781097,122.70724738569943
2026-06-03,1303.7,0,-0.006900370713974031,168353.49544151744,8380.057024781097,122.70724738569943
2026-06-04,1291.0,0,-0.009299715004161555,166795.11339971906,8380.057024781097,122.70724738569943
2026-06-05,1263.3,0,-0.020588740396090086,163396.1226471352,8380.057024781097,122.70724738569943
2026-06-08,1269.2,1,0.004225697907278691,164120.86709222727,8169.595881464328,122.87367728550498
2026-06-09,1258.8,0,-0.007816721992377174,162842.980848458,8169.595881464328,122.87367728550498
2026-06-10,1263.0,2,-0.0011502828278579546,162688.30746349102,162688.30746349102,0.0
